,date,tweet,username,retweet,nlikes,nreplies,nretweets,near
0,2020-05-31 23:44:06,Yeah my hubby made it through the first 3 Harry Potter movies and just didn’t want to watch anymore :( I still have the rest to watch sometime but just got Disney+ so may watch something on there.,Felinefemale,False,1,1,0,United States
1,2020-05-31 23:38:43,Harry Potter movies?,Felinefemale,False,0,2,0,United States
2,2020-05-31 23:22:49,"No thanks, I am watching a Harry Potter rerun instead...",mrboneheaddave,False,0,0,0,United States
3,2020-05-31 22:54:15,"The top 4 books on Amazon are Harry Potter. 

5th is a Hunger Games sequel.",NathanWurtzel,False,0,1,0,United States
4,2020-05-31 22:49:47,"During our new daily exercise routine, inspired by you, I've been listening to your very own Harry Potter audible book and the description of Harry's wand today, 11"" long, of holly, and having a phoenix feather core donated by Fawkes, Albus Dumbledore's phoenix.  pic.twitter.com/KPBPVEtUUT",CristaGalli22,False,0,0,0,United States
5,2020-05-31 22:29:58,Ion like how the last Harry Potter movie ended🥴,Pgr_vaughn,False,0,0,0,United States
6,2020-05-31 22:25:54,"Dear Harry Potter fans here is the truth you must accept in these days:

*You aren't doing ANYTHING you said you would do if you were working at department of ministry during the rise of Voldemort & Deathly Hallows 1 & 2:

*You are absolutely okay with Dolores Umbridge in charge.",drmav,False,0,0,0,United States
7,2020-05-31 22:23:10,I’m watching Harry Potter.,R_Barnes407,False,0,0,0,United States
8,2020-05-31 22:09:45,today is the day i start the harry potter books again from the beginning.,oheysj,False,3,0,0,United States
9,2020-05-31 21:58:03,My dog reminds me of Dobby from Harry Potter. She is so sweet.  pic.twitter.com/iypZktowxB,MSgirl29,False,1,0,0,United States
10,2020-05-31 21:19:00,Lowkey think I’m gonna watch all the Harry Potter movies since I have HBO MAX,JonNoSnow,False,1,0,1,United States
11,2020-05-31 21:05:04,Okay I’m confused... when I see “Death Eaters” I think of a radical pure-blood supremacist terrorist group led by Tom Marvolo Riddle. Did these people not read Harry Potter? Poor name choice I’m thinking.,RebeccaABritt,False,4,1,0,United States
12,2020-05-31 20:48:30,I got drunk yesterday and I ordered all the Harry Potter hardcover books....and I don’t regret 1 thing #imawizard,Kay_Esli,False,1,0,0,United States
13,2020-05-31 20:45:37,"Nothing as better as quarantining with #HarryPotter #HarryPotterAtHome 
This my third time reading all Harry Potter's books and I always discover something new and fascinating.
Thanks @jk_rowling pic.twitter.com/90tfhNzZeX",reddelb,False,1,0,0,United States
14,2020-05-31 20:16:36,Brought my Harry Potter books back to Texas and could NOT be happier about it!,postmaamun,False,0,0,0,United States
15,2020-05-31 19:59:43,"The hermione Granger to my Harry Potter
@alyxzapolski21 ⚡️✨ @ Croc's 19th Street Bistro  https://www.instagram.com/p/CA3WbUTJov7/?igshid=1kid8f70bqij6 …",Sahara_007,False,2,0,0,United States
16,2020-05-31 19:46:36,@jk_rowling I am a BIg fan of Harry Potter so much. And today is my Dad's 70th Birthday and I am making him pancakes from the Harry Potter cookbook I got from my cousin  pic.twitter.com/yUqn3ZkbOL,Ash88Gilmore,False,0,0,0,United States
17,2020-05-31 19:44:03,"The 5(ish) Greatest Sunday Afternoon Flicks (in no particular order):

1) Sky High
2) Percy Jackson (1 or 2, you choose)
3) Pacific Rim (only the 1st, ever)
4) Alita: Battle Angel
5) Several of the Harry Potter Films",ShawnMSmith,False,1,0,0,United States
18,2020-05-31 19:37:54,"@KarenDavid  I am surprising a Birthday Brunch for my Dad. Pancakes from a Harry Potter cookbook my cousin got me for Christmas, what do you think?  pic.twitter.com/3k5u9dfVWg",Ash88Gilmore,False,0,0,0,United States
19,2020-05-31 18:40:36,"Harry Potter marauders zipper pouch 
.
.
.
.
#nm #objects2desire #zipperpouch #objects2desirestudio #harrypotter #maraudersmap #maraudersmapbag #handmade #sewing #sewingprojects #harrypotterbag @ Ruidoso, New Mexico  https://www.instagram.com/p/CA3NX3GpmmS/?igshid=ttz3vhritfw3 …",objects2desire,False,1,0,0,United States
20,2020-05-31 18:39:00,"Harry Potter marauders map masks 
.
.
.
.
.
#nm #objects2desire #masks #maskmaking #objects2desirestudio #harrypottermask #maraudersmap #maraudersmapmask #handmade #sewing #sewingmasks @ Ruidoso, New Mexico  https://www.instagram.com/p/CA3NMBOpL1H/?igshid=1wxb38ewzn0eq …",objects2desire,False,1,0,0,United States
